idJurisdicao,nome,ativo,idOrgaoPje,id,table
232,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Umarizal",True,254,1104,orgao_julgador
232,Vara Única da Comarca de Umarizal,True,255,1105,orgao_julgador
195,"Juizado Especial Cúvel, Criminal e da Fazenda Pública da Comarca de Florânia",True,256,1106,orgao_julgador
195,Vara Única da Comarca de Florânia,True,257,1107,orgao_julgador
201,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Jucurutu",True,258,1108,orgao_julgador
201,Vara Única da Comarca de Jucurutu,True,259,1109,orgao_julgador
183,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Almino Afonso",True,260,1110,orgao_julgador
183,Vara Única da Comarca de Almino Afonso,True,261,1111,orgao_julgador
220,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Santana do Matos",True,262,1112,orgao_julgador
220,Vara Única da Comarca de Santana do Matos,True,263,1113,orgao_julgador
214,Vara Única da Comarca de Patu,True,264,1114,orgao_julgador
214,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Patu",True,265,1115,orgao_julgador
206,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Marcelino Vieira",True,266,1116,orgao_julgador
206,Vara Única da Comarca de Marcelino Vieira,True,267,1117,orgao_julgador
178,CEJUSC CAICÓ,False,268,1118,orgao_julgador
209,Secretaria Unificada Cível Mossoró,False,269,1119,orgao_julgador
209,Secretaria Unificada Família Mossoró,False,270,1120,orgao_julgador
180,1º Vara da Comarca de Currais Novos,True,271,1121,orgao_julgador
180,2º Vara da Comarca de Currais Novos,True,272,1122,orgao_julgador
180,Juizado Especial Cível e Criminal da Comarca de Currais Novos,True,273,1123,orgao_julgador
180,Juizado da Fazenda Pública da Comarca de Currais Novos,True,274,1124,orgao_julgador
182,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Alexandria",True,275,1125,orgao_julgador
182,Vara Única da Comarca de Alexandria,True,276,1126,orgao_julgador
203,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Luís Gomes",True,277,1127,orgao_julgador
203,Vara Única da Comarca de Luís Gomes,True,278,1128,orgao_julgador
227,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de São Miguel",True,279,1129,orgao_julgador
227,Vara Única da Comarca de São Miguel,True,280,1130,orgao_julgador
218,"Juizado Especial Cível, Criminal e da Fazenda Públia da Comarca de Portalegre",True,281,1131,orgao_julgador
218,Vara Única da Comarca de Portalegre,True,282,1132,orgao_julgador
205,1º Vara da Comarca de Macau,True,283,1133,orgao_julgador
205,2º Vara da Comarca de Macau,True,284,1134,orgao_julgador
205,Juizado Especial Cível e Criminal da Comarca de Macau,True,285,1135,orgao_julgador
205,Juizado da Fazenda Pública da Comarca de Macau,True,286,1136,orgao_julgador
217,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Pendências",True,287,1137,orgao_julgador
217,Vara Única da Comarca de Pendências,True,288,1138,orgao_julgador
222,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de São Bento do Norte",True,289,1139,orgao_julgador
222,Vara Única da Comarca de São Bento do Norte,True,290,1140,orgao_julgador
197,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Ipanguaçu",True,291,1141,orgao_julgador
197,Vara Única da Comarca de Ipanguaçu,True,292,1142,orgao_julgador
184,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Angicos",True,293,1143,orgao_julgador
184,Vara Única da Comarca de Angicos,True,294,1144,orgao_julgador
202,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Lajes",True,295,1145,orgao_julgador
202,Vara Única da Comarca de Lajes,True,296,1146,orgao_julgador
209,2º Vara Cível da Comarca de Mossoró,True,297,1147,orgao_julgador
209,5º Vara Cível da Comarca de Mossoró,True,298,1148,orgao_julgador
241,1º Vara de Família e Sucessões da Comarca de Natal,True,299,1149,orgao_julgador
241,2º Vara de Família e Sucessões da Comarca de Natal,True,300,1150,orgao_julgador
241,3º Vara de Família e Sucessões da Comarca de Natal,True,301,1151,orgao_julgador
241,4º Vara de Família e Sucessões da Comarca de Natal,True,302,1152,orgao_julgador
241,5º Vara de Família e Sucessões da Comarca de Natal,True,303,1153,orgao_julgador
241,6º Vara de Família e Sucessões da Comarca de Natal,True,304,1154,orgao_julgador
241,7º Vara de Família e Sucessões da Comarca de Natal,True,305,1155,orgao_julgador
241,8º Vara de Família e Sucessões da Comarca de Natal,True,306,1156,orgao_julgador
241,9º Vara de Família e Sucessões da Comarca de Natal,True,307,1157,orgao_julgador
241,25º Vara Cível da Comarca de Natal,True,308,1158,orgao_julgador
215,CEJUSC PAU DOS FERROS,False,309,1159,orgao_julgador
241,CEJUSC PRINCESA DO SERIDÓ,False,310,1160,orgao_julgador
213,"1º Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Parnamirim",True,312,1161,orgao_julgador
213,"2º Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Parnamirim",True,313,1162,orgao_julgador
213,"3º Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Parnamirim",True,314,1163,orgao_julgador
